ねえ	呐
ちゃん	酱
ごきげんよう	贵安
昇降口	大门
赤飯	红豆饭
せきはん	红豆饭
囃子	伴奏
型抜き	椪糖
スク水	死库水
化けの皮    伪装

JS	JS
JC	JC
JK	JK
J〇	J〇

メスガキ	雌小鬼
ちっぱい	贫乳
つるぺた	平板
イカ腹	鱿鱼肚
イカばら	鱿鱼肚
いかばら	鱿鱼肚
デベソ	脐凸

ヘルス	风俗店
ヘルス嬢	风俗娘
ソープランド	泡泡浴店
ソープ嬢	泡泡浴娘

言葉責め	言语羞辱
くすぐり責め	挠痒地狱
寸止め責め	边缘控制
責め	责罚/玩弄/折磨

中イキ	后庭高潮
メスイキ	雌堕高潮
甘イキ	浅高潮
空イキ	干性高潮
ルーインドオーガズム	毁灭式高潮
トコロテン	挤面条

スパンキング	抽打
ケイニング	抽打
スリッパリング	抽打
パドリング	抽打
ウィッピング	鞭打

性癖	性癖
シックスナイン	69
しこしこ	撸动
賢者タイム	贤者时间

躾	调教
電マ	按摩棒
バイブ	按摩棒
ディルドー	假阳具
ローター	跳蛋
はけ水車	毛刷水车
ハケ水車	毛刷水车
クスコ	鸭嘴钳
バストバキューム	榨乳器
我慢汁	忍耐汁
カウパー腺液	先走汁
雑魚	杂鱼
マゾ豚	抖M猪猡
マゾ	抖M
マゾヒズム	抖M
サディズム	抖S
オカズ	配菜
脳汁	脑汁	脳内で分泌される快楽物質による感覚を表現した俗語
スティミュラント	兴奋剂
オナホ	飞机杯
ピストンマシン	炮机
ピストン	活塞

膣	小穴
まんこ	小穴
まんまん	小穴穴
クリトリス	阴蒂
クリちゃん	小豆豆
お豆	小豆豆
菊座	菊穴
まんすじ	阴阜
ほうけい	包茎
裏筋	系带
ちんこ	鸡鸡
ちんぽ	鸡鸡
ちんちん	小鸡鸡
アナル	菊穴
露出	露出
手まん	指奸
手マン	指奸
手こき	手冲
手コキ	手冲
寸止め	寸止
駅弁	站立位
ぶっかけ	浇汁
赤ちゃん部屋	小宝宝的房间
